met_id,concentration,concentration_var,concentration_lb,concentration_ub,concentration_units
3mob,1.49E-03,1.87E-07,1.06E-03,1.49E+00,M
accoa,4.06E-04,5.10E-09,3.34E-04,4.06E-01,M
adp,7.82E-05,2.00E-10,6.40E-05,7.82E-02,M
r5p,1.16E-05,1.18E-10,7.31E-07,1.16E-02,M
amp,1.09E-05,8.91E-13,9.93E-06,1.09E-02,M
atp,8.40E-04,2.35E-08,6.87E-04,8.41E-01,M
cdp,2.97E-05,3.34E-10,1.15E-05,2.98E-02,M
coa,4.55E-04,5.55E-09,3.80E-04,4.55E-01,M
ctp,1.51E-04,8.21E-10,1.22E-04,1.51E-01,M
datp,1.12E-04,1.23E-09,7.73E-05,1.12E-01,M
dcdp,1.71E-05,1.74E-11,1.29E-05,1.71E-02,M
dctp,5.65E-05,5.62E-11,4.90E-05,5.65E-02,M
fdp,5.19E-03,1.36E-06,4.02E-03,5.19E+00,M
f6p,2.54E-04,9.28E-09,1.58E-04,2.54E-01,M
dgdp,5.09E-06,1.20E-12,4.00E-06,5.09E-03,M
g6p,7.16E-04,1.40E-07,3.42E-04,7.16E-01,M
ru5p_DASH_D,1.13E-04,2.28E-10,9.82E-05,1.13E-01,M
dtdpglu,2.02E-05,3.32E-11,1.44E-05,2.02E-02,M
dttp,1.09E-04,1.34E-09,7.21E-05,1.09E-01,M
fad,3.23E-04,1.25E-08,2.11E-04,3.23E-01,M
gdp,4.75E-05,1.04E-10,3.73E-05,4.75E-02,M
gtp,3.21E-04,3.99E-09,2.58E-04,3.21E-01,M
itp,3.48E-05,5.45E-11,2.75E-05,3.48E-02,M
citr_DASH_L,1.20E-05,6.45E-11,4.00E-06,1.20E-02,M
glu_DASH_L,3.51E-03,1.37E-07,3.14E-03,3.51E+00,M
gln_DASH_L,1.47E-04,9.29E-10,1.16E-04,1.47E-01,M
ser_DASH_L,1.61E-04,2.08E-09,1.15E-04,1.61E-01,M
thr_DASH_L,5.32E-04,3.31E-09,4.74E-04,5.32E-01,M
trp_DASH_L,1.99E-05,9.19E-12,1.69E-05,1.99E-02,M
nadh,9.71E-04,2.96E-08,7.99E-04,9.71E-01,M
nad,8.07E-04,1.14E-08,7.00E-04,8.07E-01,M
nadph,1.80E-04,1.07E-09,1.47E-04,1.80E-01,M
nadp,6.42E-05,1.18E-10,5.33E-05,6.42E-02,M
pep,3.75E-04,5.81E-08,1.34E-04,3.75E-01,M
2pg,1.14E-04,3.24E-09,5.75E-05,1.15E-01,M
3pg,1.14E-04,3.24E-09,5.75E-05,1.15E-01,M
gthrd,5.85E-04,6.53E-09,5.04E-04,5.85E-01,M
udp,2.66E-05,2.78E-11,2.13E-05,2.66E-02,M
utp,3.73E-04,1.31E-08,2.58E-04,3.73E-01,M
